
CommandType     Name                                               Version
-----------     ----                                               ------- 
Alias           Add-AppPackage                                     2.0.1.0 
Alias           Add-AppPackageVolume                               2.0.1.0 
Alias           Add-AppProvisionedPackage                          3.0     
Alias           Add-MsixPackage                                    2.0.1.0 
Alias           Add-MsixPackageVolume                              2.0.1.0 
Alias           Add-MsixVolume                                     2.0.1.0 
Alias           Add-ProvisionedAppPackage                          3.0     
Alias           Add-ProvisionedAppSharedPackageContainer           3.0     
Alias           Add-ProvisionedAppxPackage                         3.0     
Alias           Add-ProvisioningPackage                            3.0     
Alias           Add-TrustedProvisioningCertificate                 3.0     
Alias           Apply-WindowsUnattend                              3.0     
Alias           Disable-PhysicalDiskIndication                     2.0.0.0 
Alias           Disable-PhysicalDiskIndication                     1.0.0.0 
Alias           Disable-StorageDiagnosticLog                       2.0.0.0 
Alias           Disable-StorageDiagnosticLog                       1.0.0.0 
Alias           Dismount-AppPackageVolume                          2.0.1.0 
Alias           Dismount-MsixPackageVolume                         2.0.1.0 
Alias           Dismount-MsixVolume                                2.0.1.0 
Alias           Enable-PhysicalDiskIndication                      2.0.0.0 
Alias           Enable-PhysicalDiskIndication                      1.0.0.0 
Alias           Enable-StorageDiagnosticLog                        2.0.0.0 
Alias           Enable-StorageDiagnosticLog                        1.0.0.0 
Alias           Export-VMCheckpoint                                2.0.0.0 
Alias           Export-VMCheckpoint                                1.0.0.0 
Alias           Flush-Volume                                       2.0.0.0 
Alias           Flush-Volume                                       1.0.0.0 
Alias           Get-AppPackage                                     2.0.1.0 
Alias           Get-AppPackageAutoUpdateSettings                   2.0.1.0 
Alias           Get-AppPackageDefaultVolume                        2.0.1.0 
Alias           Get-AppPackageLastError                            2.0.1.0 
Alias           Get-AppPackageLog                                  2.0.1.0 
Alias           Get-AppPackageManifest                             2.0.1.0 
Alias           Get-AppPackageVolume                               2.0.1.0 
Alias           Get-AppProvisionedPackage                          3.0     
Alias           Get-DiskSNV                                        2.0.0.0 
Alias           Get-DiskSNV                                        1.0.0.0 
Alias           Get-Language                                       1.0     
Alias           Get-MsixDefaultVolume                              2.0.1.0 
Alias           Get-MsixLastError                                  2.0.1.0 
Alias           Get-MsixLog                                        2.0.1.0 
Alias           Get-MsixPackage                                    2.0.1.0 
Alias           Get-MsixPackageAutoUpdateSettings                  2.0.1.0 
Alias           Get-MsixPackageDefaultVolume                       2.0.1.0 
Alias           Get-MsixPackageLastError                           2.0.1.0 
Alias           Get-MsixPackageLog                                 2.0.1.0 
Alias           Get-MsixPackageManifest                            2.0.1.0 
Alias           Get-MsixPackageVolume                              2.0.1.0 
Alias           Get-MsixVolume                                     2.0.1.0 
Alias           Get-PhysicalDiskSNV                                2.0.0.0 
Alias           Get-PhysicalDiskSNV                                1.0.0.0 
Alias           Get-PreferredLanguage                              1.0     
Alias           Get-ProvisionedAppPackage                          3.0     
Alias           Get-ProvisionedAppSharedPackageContainer           3.0     
Alias           Get-ProvisionedAppxPackage                         3.0     
Alias           Get-PSResource                                     1.1.1   
Alias           Get-StorageEnclosureSNV                            2.0.0.0 
Alias           Get-StorageEnclosureSNV                            1.0.0.0 
Alias           Get-SystemLanguage                                 1.0     
Alias           Get-VMCheckpoint                                   2.0.0.0 
Alias           Get-VMCheckpoint                                   1.0.0.0 
Alias           Initialize-Volume                                  2.0.0.0 
Alias           Initialize-Volume                                  1.0.0.0 
Alias           Mount-AppPackageVolume                             2.0.1.0 
Alias           Mount-MsixPackageVolume                            2.0.1.0 
Alias           Mount-MsixVolume                                   2.0.1.0 
Alias           Move-AppPackage                                    2.0.1.0 
Alias           Move-MsixPackage                                   2.0.1.0 
Alias           Move-SmbClient                                     2.0.0.0 
Alias           Optimize-AppProvisionedPackages                    3.0     
Alias           Optimize-ProvisionedAppPackages                    3.0     
